data_name,bias1,ml_name,method_name,Intercept,bias_type
german,-0.009525674204039,KNN,mean_v2,0.645589662087512,bias two
german,0.011535766499066,KNN,similar_v1,0.617585491710994,bias two
german,-0.007391583107218,KNN,similar_v2,0.631242604526323,bias two
german,0.010993864377544,KNN,multi_v1,0.619236978427254,bias two
german,0.006385652896272,KNN,multi_v2,0.624711085811888,bias two
german,0.009736122999421,LinearSVC,mean_v1,0.638853866124292,bias two
german,-0.012868505259754,LinearSVC,mean_v2,0.654316739555416,bias two
german,0.009646597826978,LinearSVC,similar_v1,0.62987197499862,bias two
german,-0.012559374685229,LinearSVC,similar_v2,0.647083072444967,bias two
german,0.017954212476546,LinearSVC,multi_v1,0.600282131581828,bias two
german,0.008280360606913,LinearSVC,multi_v2,0.602894237866915,bias two
german,0.012680179307139,SVC,mean_v1,0.629335168956718,bias two
german,-0.009231296354271,SVC,mean_v2,0.64412785868502,bias two
german,0.011983207072588,SVC,similar_v1,0.621955128083249,bias two
german,-0.011011414729919,SVC,similar_v2,0.63780829984249,bias two
german,0.015112084675272,SVC,multi_v1,0.601904314534691,bias two
german,0.008228532154869,SVC,multi_v2,0.608989035089484,bias two
german,0.016389607744661,Forest,mean_v1,0.576182567620433,bias two
german,-0.004937194089045,Forest,mean_v2,0.616472689765212,bias two
german,0.010064408382967,Forest,similar_v1,0.68127110133105,bias two
german,-0.010986878620514,Forest,similar_v2,0.699165370344327,bias two
german,0.009565352599726,Forest,multi_v1,0.681121052848864,bias two
german,0.004819159349174,Forest,multi_v2,0.691779936093162,bias two
german,0.011897389808418,LogReg,mean_v1,0.642061968236995,bias two
german,-0.011188738941248,LogReg,mean_v2,0.657446145138505,bias two
german,0.010351697044178,LogReg,similar_v1,0.633080080839828,bias two
german,-0.009955830898314,LogReg,similar_v2,0.649956120122228,bias two
german,0.019197125907415,LogReg,multi_v1,0.603416697282185,bias two
german,0.009362141689285,LogReg,multi_v2,0.604712622355874,bias two
german,0.009310787013202,Tree,mean_v1,0.567246462093839,bias two
german,-0.005934875806914,Tree,mean_v2,0.599779279073498,bias two
german,0.013588644928695,Tree,similar_v1,0.624511700486599,bias two
german,-0.010898923137592,Tree,similar_v2,0.639656586738539,bias two
german,0.017631862728651,Tree,multi_v1,0.611103642275153,bias two
german,0.008698430090669,Tree,multi_v2,0.615740613730935,bias two
german,0.00951880358325,MLP,mean_v1,0.639169376543,bias two
german,-0.00836894017445,MLP,mean_v2,0.655339636419452,bias two
german,0.014696254485138,MLP,similar_v1,0.629477356935102,bias two
german,-0.007122318309257,MLP,similar_v2,0.64830835176638,bias two
german,0.010143046675657,MLP,multi_v1,0.639482187758344,bias two
german,0.008026347191974,MLP,multi_v2,0.648515496741382,bias two
juvenile,0.005545963538847,KNN,mean_v1,0.614646086707871,bias two
juvenile,-0.004326311387126,KNN,mean_v2,0.625486649990109,bias two
juvenile,0.008509352505877,KNN,similar_v1,0.60836703351839,bias two
juvenile,-0.022555757077906,KNN,similar_v2,0.620433885695204,bias two
juvenile,0.007248231924486,KNN,multi_v1,0.607469953309317,bias two
juvenile,0.008563614325304,KNN,multi_v2,0.607066453645858,bias two
juvenile,-0.003795488611767,LinearSVC,mean_v1,0.616567671400736,bias two
juvenile,-0.008365342135966,LinearSVC,mean_v2,0.623652556437866,bias two
juvenile,0.004042629881141,LinearSVC,similar_v1,0.60695124899604,bias two
juvenile,-0.007132115666975,LinearSVC,similar_v2,0.615831736656253,bias two
juvenile,0.009102389705213,LinearSVC,multi_v1,0.586084339782679,bias two
juvenile,-0.010094312496415,LinearSVC,multi_v2,0.592106174836631,bias two
juvenile,0.011686127349681,SVC,mean_v1,0.395316803489792,bias two
juvenile,0.012008011944157,SVC,mean_v2,0.396335071795564,bias two
juvenile,0.000894132208996,SVC,similar_v1,0.427256531143865,bias two
juvenile,0.010420422753224,SVC,similar_v2,0.417903003139868,bias two
juvenile,-0.005584953815288,SVC,multi_v1,0.466509422418004,bias two
juvenile,0.000975719401962,SVC,multi_v2,0.450250031951806,bias two
juvenile,-0.012271897341871,Forest,mean_v1,0.541418273176556,bias two
juvenile,-0.004209727873909,Forest,mean_v2,0.563832051310285,bias two
juvenile,0.003358720746809,Forest,similar_v1,0.658049890322824,bias two
juvenile,-0.013751665598769,Forest,similar_v2,0.676501180389952,bias two
juvenile,0.027019858696432,Forest,multi_v1,0.630130033511245,bias two
juvenile,0.00575078080373,Forest,multi_v2,0.641691270929795,bias two
juvenile,-0.003506762444446,LogReg,mean_v1,0.615176972884691,bias two
juvenile,-0.010102198072628,LogReg,mean_v2,0.62458135543035,bias two
juvenile,0.003117893726143,LogReg,similar_v1,0.607282985709215,bias two
juvenile,-0.007752904931803,LogReg,similar_v2,0.616376770013061,bias two
juvenile,0.007822075648034,LogReg,multi_v1,0.586475629808353,bias two
